fc_demand,fc_nuclear,import_FR,export_FR,fc_wind,fc_solar_pv,fc_solar_th,date,hour
30253.0,7117.2,2300.0,1750.0,3433.0,2069.2,1778.7,2020-09-03,19
30887.0,7117.2,2300.0,1750.0,3722.0,337.2,1080.3,2020-09-03,20
31918.0,7117.2,2300.0,1750.0,3913.0,0.0,647.8,2020-09-03,21
29522.0,7117.2,2300.0,1750.0,4003.0,0.0,579.0,2020-09-03,22
26947.0,7117.2,2300.0,1750.0,3894.0,0.0,529.9,2020-09-03,23
25920.0,7117.2,2300.0,1750.0,3972.0,0.0,593.1,2020-09-04,0
24427.0,7117.2,2300.0,2100.0,4067.0,0.0,562.7,2020-09-04,1
23405.0,7117.2,2300.0,2100.0,4072.0,0.0,536.6,2020-09-04,2
22988.0,7117.2,2300.0,2100.0,3895.0,0.0,483.0,2020-09-04,3
22737.0,7117.2,2300.0,2100.0,3623.0,0.0,299.4,2020-09-04,4
23102.0,7117.2,2300.0,2100.0,3325.0,0.0,134.5,2020-09-04,5
24932.0,7117.2,2300.0,2100.0,3248.0,0.0,74.2,2020-09-04,6
27061.0,7117.2,2300.0,1750.0,3396.0,17.5,63.6,2020-09-04,7
28487.0,7117.2,2300.0,1750.0,3510.0,953.1,61.7,2020-09-04,8
30175.0,7117.2,2300.0,1750.0,3214.0,3493.3,319.5,2020-09-04,9
31380.0,7117.2,2300.0,1750.0,3228.0,5187.0,1612.7,2020-09-04,10
32351.0,7117.2,2300.0,1750.0,3406.0,6145.4,2085.9,2020-09-04,11
33525.0,6961.9,2300.0,1750.0,3599.0,6674.0,2142.1,2020-09-04,12
33738.0,6961.9,2300.0,1750.0,3596.0,6890.8,2104.9,2020-09-04,13
32958.0,6961.9,2300.0,1750.0,3499.0,6926.2,2098.9,2020-09-04,14
31983.0,6961.9,2300.0,1750.0,3511.0,6755.7,2052.3,2020-09-04,15
31454.0,6961.9,2300.0,1750.0,3574.0,6333.6,2092.0,2020-09-04,16
31431.0,6961.9,2300.0,1750.0,3773.0,5613.0,2124.7,2020-09-04,17
31108.0,6961.9,2300.0,1750.0,4038.0,4300.3,2073.4,2020-09-04,18
30713.0,6961.9,2300.0,1750.0,4310.0,2009.1,1780.4,2020-09-04,19
30901.0,6816.1,2300.0,1750.0,4736.0,324.9,1068.4,2020-09-04,20
31431.0,6816.1,2300.0,1750.0,5212.0,0.0,630.5,2020-09-04,21
28793.0,6636.1,2300.0,1750.0,5205.0,0.0,584.6,2020-09-04,22
26650.0,6636.1,2300.0,1750.0,5230.0,0.0,577.5,2020-09-04,23
25487.0,6366.1,2300.0,1500.0,5098.0,0.0,578.6,2020-09-05,0
24207.0,6366.1,2300.0,1500.0,5132.0,0.0,555.0,2020-09-05,1
23172.0,6366.1,2300.0,2100.0,5062.0,0.0,523.1,2020-09-05,2
22511.0,6366.1,2300.0,2100.0,4949.0,0.0,470.3,2020-09-05,3
22103.0,5966.1,2300.0,2100.0,4895.0,0.0,300.3,2020-09-05,4
21831.0,5966.1,2300.0,2100.0,4793.0,0.0,208.4,2020-09-05,5
22139.0,5966.1,2300.0,2100.0,5049.0,0.0,82.8,2020-09-05,6
22577.0,5966.1,2300.0,2100.0,5299.0,14.3,78.1,2020-09-05,7
23697.0,5966.1,2300.0,1500.0,5633.0,909.1,81.9,2020-09-05,8
25818.0,5966.1,2300.0,1500.0,5294.0,3424.9,360.1,2020-09-05,9
27355.0,5966.1,2300.0,1500.0,5349.0,5137.5,1636.3,2020-09-05,10
28139.0,5966.1,2300.0,1500.0,5272.0,6150.7,2050.5,2020-09-05,11
28859.0,5966.1,2300.0,1500.0,5353.0,6624.2,2150.3,2020-09-05,12
29152.0,5966.1,2300.0,1500.0,5509.0,6831.8,2134.1,2020-09-05,13
28913.0,5966.1,2300.0,1500.0,5825.0,6843.1,2143.0,2020-09-05,14
27672.0,5966.1,2300.0,1500.0,6413.0,6661.0,2099.2,2020-09-05,15
27015.0,5966.1,2300.0,1500.0,7032.0,6234.9,2106.8,2020-09-05,16
26789.0,5966.1,2300.0,1500.0,8258.0,5354.8,2104.1,2020-09-05,17
26762.0,5966.1,2300.0,1500.0,9535.0,4197.3,2046.1,2020-09-05,18
26516.0,5966.1,2300.0,1500.0,10502.0,1862.0,1741.2,2020-09-05,19
27112.0,5966.1,2300.0,1500.0,11036.0,380.1,1068.5,2020-09-05,20
28360.0,5966.1,2300.0,1500.0,11877.0,0.0,623.6,2020-09-05,21
26697.0,6121.4,2300.0,1500.0,12200.0,0.0,594.0,2020-09-05,22
24958.0,6121.4,2300.0,1500.0,12205.0,0.0,587.6,2020-09-05,23
23561.0,6121.4,2300.0,1500.0,11923.0,0.0,601.6,2020-09-06,0
22394.0,6121.4,2300.0,2100.0,11657.0,0.0,586.3,2020-09-06,1
21490.0,6121.4,2300.0,2100.0,11268.0,0.0,514.9,2020-09-06,2
20857.0,6121.4,2300.0,2100.0,10994.0,0.0,386.5,2020-09-06,3
20313.0,6121.4,2300.0,2100.0,10546.0,0.0,217.1,2020-09-06,4
20074.0,6121.4,2300.0,2100.0,10093.0,0.0,141.6,2020-09-06,5
20326.0,6121.4,2300.0,2100.0,9681.0,0.0,80.2,2020-09-06,6
20181.0,6121.4,2300.0,2100.0,9599.0,17.7,67.0,2020-09-06,7
20249.0,6121.4,2300.0,2100.0,9566.0,902.0,71.7,2020-09-06,8
22144.0,6121.4,2300.0,2100.0,9212.0,3158.6,287.5,2020-09-06,9
23918.0,6121.4,2300.0,2100.0,9306.0,4902.3,1448.0,2020-09-06,10
24771.0,6121.4,2300.0,2100.0,9133.0,5973.7,1848.7,2020-09-06,11
25640.0,6121.4,2300.0,2100.0,8998.0,6546.9,2065.1,2020-09-06,12
26498.0,6121.4,2300.0,2100.0,9027.0,6657.0,2103.1,2020-09-06,13
26432.0,6121.4,2300.0,2100.0,9453.0,6613.9,2119.5,2020-09-06,14
25309.0,6121.4,2300.0,2100.0,9535.0,6399.1,2126.6,2020-09-06,15
24773.0,6121.4,2300.0,2100.0,9880.0,5968.9,2054.1,2020-09-06,16
24563.0,6121.4,2300.0,2100.0,10433.0,5270.1,1955.4,2020-09-06,17
24640.0,6121.4,2300.0,1500.0,10836.0,4028.4,1965.9,2020-09-06,18
24841.0,6121.4,2300.0,2100.0,11241.0,1696.3,1662.9,2020-09-06,19
26043.0,6121.4,2300.0,2100.0,11855.0,288.1,1008.5,2020-09-06,20
27937.0,6121.4,2300.0,2100.0,12232.0,0.0,616.3,2020-09-06,21
26767.0,6121.4,2300.0,2100.0,12160.0,0.0,580.1,2020-09-06,22
24980.0,6121.4,2300.0,2100.0,11583.0,0.0,543.4,2020-09-06,23
23445.0,6121.4,2600.0,2100.0,11248.0,0.0,526.8,2020-09-07,0
22299.0,6121.4,2600.0,2100.0,11238.0,0.0,479.7,2020-09-07,1
21409.0,6121.4,2600.0,2100.0,11129.0,0.0,357.5,2020-09-07,2
21088.0,6121.4,2600.0,2100.0,10583.0,0.0,259.2,2020-09-07,3
21116.0,6121.4,2600.0,2100.0,10053.0,0.0,159.1,2020-09-07,4
21709.0,6121.4,2600.0,2100.0,9742.0,0.0,82.4,2020-09-07,5
23757.0,6121.4,2600.0,2100.0,9735.0,0.0,73.4,2020-09-07,6
26354.0,6121.4,2600.0,2100.0,9772.0,11.9,43.8,2020-09-07,7
27865.0,6121.4,2600.0,2100.0,9462.0,804.2,49.7,2020-09-07,8
29446.0,6121.4,2600.0,2100.0,9430.0,2924.2,235.3,2020-09-07,9
30373.0,6121.4,2600.0,2100.0,10154.0,4527.1,1365.0,2020-09-07,10
30955.0,6121.4,2600.0,2100.0,10170.0,5373.7,1842.0,2020-09-07,11
31465.0,6121.4,2600.0,2100.0,9920.0,5943.8,1935.3,2020-09-07,12
31658.0,6121.4,2600.0,2100.0,9495.0,6311.6,1977.6,2020-09-07,13
30928.0,6121.4,2600.0,2100.0,9346.0,6588.5,1990.1,2020-09-07,14
30369.0,6121.4,2600.0,2100.0,9380.0,6382.0,1905.2,2020-09-07,15
30331.0,6121.4,2600.0,2100.0,9504.0,5834.9,1919.6,2020-09-07,16
30284.0,6121.4,2600.0,2100.0,9615.0,5059.6,1799.5,2020-09-07,17
29835.0,6121.4,2600.0,2100.0,10388.0,3692.5,1685.4,2020-09-07,18
29406.0,6121.4,2600.0,2100.0,11007.0,1655.3,1386.3,2020-09-07,19
29995.0,6121.4,2600.0,2100.0,11134.0,246.5,895.7,2020-09-07,20
30874.0,6121.4,2600.0,2100.0,11018.0,0.0,581.3,2020-09-07,21
28312.0,6121.4,2600.0,2100.0,11181.0,0.0,539.4,2020-09-07,22
26045.0,6121.4,2600.0,2100.0,10983.0,0.0,517.2,2020-09-07,23
24998.0,6471.4,2600.0,2100.0,10779.0,0.0,465.5,2020-09-08,0
23744.0,6471.4,2600.0,2100.0,10738.0,0.0,442.1,2020-09-08,1
22845.0,6471.4,2600.0,2100.0,10146.0,0.0,256.1,2020-09-08,2
22377.0,6471.4,2600.0,2100.0,9391.0,0.0,124.9,2020-09-08,3
22349.0,6881.4,2600.0,2100.0,8755.0,0.0,78.6,2020-09-08,4
22548.0,6881.4,2600.0,2100.0,8611.0,0.0,23.3,2020-09-08,5
24263.0,6881.4,2600.0,2100.0,8400.0,0.0,14.4,2020-09-08,6
26582.0,6881.4,2600.0,2100.0,7933.0,15.5,13.3,2020-09-08,7
27546.0,6881.4,2600.0,2100.0,7628.0,849.5,39.3,2020-09-08,8
28863.0,7101.4,2600.0,2100.0,6877.0,3133.7,171.1,2020-09-08,9
29805.0,7101.4,2600.0,2100.0,6302.0,4800.3,1209.8,2020-09-08,10
30381.0,7101.4,2600.0,2100.0,5896.0,5764.7,1862.3,2020-09-08,11
31220.0,7101.4,2600.0,2100.0,5418.0,6312.1,1985.6,2020-09-08,12
31691.0,7101.4,2600.0,2100.0,4953.0,6519.7,1876.9,2020-09-08,13
30948.0,7101.4,2600.0,2100.0,4832.0,6417.2,1938.5,2020-09-08,14
30281.0,7101.4,2600.0,2100.0,4627.0,6117.0,1911.0,2020-09-08,15
30043.0,7101.4,2600.0,2100.0,4391.0,5658.7,1908.8,2020-09-08,16
30134.0,7117.2,2600.0,2100.0,4429.0,4901.3,1903.9,2020-09-08,17
29569.0,7117.2,2600.0,2100.0,4752.0,3705.7,1816.5,2020-09-08,18
29318.0,7117.2,2600.0,2100.0,5222.0,1508.6,1496.1,2020-09-08,19
29964.0,7117.2,2600.0,2100.0,5655.0,136.8,885.5,2020-09-08,20
30927.0,7117.2,2600.0,2100.0,5976.0,0.0,576.3,2020-09-08,21
28482.0,7117.2,2600.0,2100.0,6115.0,0.0,541.2,2020-09-08,22
26129.0,7117.2,2600.0,2100.0,5891.0,0.0,514.5,2020-09-08,23
25139.0,7117.2,2600.0,2100.0,5352.0,0.0,513.0,2020-09-09,0
23831.0,7117.2,2600.0,2100.0,4685.0,0.0,412.6,2020-09-09,1
22908.0,7117.2,2600.0,2100.0,4306.0,0.0,305.2,2020-09-09,2
22800.0,7117.2,2600.0,2100.0,3838.0,0.0,145.1,2020-09-09,3
22681.0,7117.2,2600.0,2100.0,3300.0,0.0,67.5,2020-09-09,4
23071.0,7117.2,2600.0,2100.0,3054.0,0.0,50.1,2020-09-09,5
24943.0,7117.2,2600.0,2100.0,2805.0,0.0,34.3,2020-09-09,6
27337.0,7117.2,2600.0,2100.0,2530.0,11.3,23.9,2020-09-09,7
28571.0,7117.2,2600.0,2100.0,2256.0,784.3,39.5,2020-09-09,8
30023.0,7117.2,2600.0,2100.0,1971.0,3077.3,212.1,2020-09-09,9
30852.0,7117.2,2600.0,2100.0,1864.0,4744.3,1338.7,2020-09-09,10
31584.0,7117.2,2600.0,2100.0,1832.0,5673.9,1890.8,2020-09-09,11
32483.0,7117.2,2600.0,2100.0,1797.0,6072.5,2023.7,2020-09-09,12
32617.0,7117.2,2600.0,2100.0,1601.0,6332.4,2025.7,2020-09-09,13
32142.0,7117.2,2600.0,2100.0,1601.0,6446.5,2027.4,2020-09-09,14
31287.0,7117.2,2600.0,2100.0,1688.0,6253.3,2034.1,2020-09-09,15
31250.0,7117.2,2600.0,2100.0,2054.0,5613.7,2001.7,2020-09-09,16
31205.0,7117.2,2600.0,2100.0,2491.0,4771.7,1905.7,2020-09-09,17
30599.0,7117.2,2600.0,2100.0,2880.0,3370.9,1779.4,2020-09-09,18
30168.0,7117.2,2600.0,2100.0,3394.0,1409.4,1427.9,2020-09-09,19
30830.0,7117.2,2600.0,2100.0,3997.0,153.9,862.1,2020-09-09,20
31580.0,7117.2,2600.0,2100.0,4973.0,0.0,626.8,2020-09-09,21
28995.0,7117.2,2600.0,2100.0,5837.0,0.0,600.5,2020-09-09,22
26680.0,7117.2,2600.0,2100.0,5738.0,0.0,574.9,2020-09-09,23
25458.0,7117.2,2600.0,2100.0,5308.0,0.0,548.3,2020-09-10,0
24255.0,7117.2,2600.0,2100.0,5057.0,0.0,435.4,2020-09-10,1
23510.0,7117.2,2600.0,2100.0,4680.0,0.0,314.6,2020-09-10,2
23118.0,7117.2,2600.0,2100.0,4637.0,0.0,189.7,2020-09-10,3
22952.0,7117.2,2600.0,2100.0,4619.0,0.0,86.4,2020-09-10,4
23310.0,7117.2,2600.0,2100.0,4502.0,0.0,65.8,2020-09-10,5
25231.0,7117.2,2600.0,2100.0,4432.0,0.0,42.3,2020-09-10,6
27493.0,7117.2,2600.0,2100.0,4149.0,18.6,37.9,2020-09-10,7
28603.0,7117.2,2600.0,2100.0,3589.0,865.5,52.8,2020-09-10,8
30010.0,7117.2,2600.0,2100.0,2668.0,3336.1,271.3,2020-09-10,9
31169.0,7117.2,2600.0,2100.0,2366.0,5050.7,1467.7,2020-09-10,10
31836.0,7117.2,2600.0,2100.0,2390.0,5963.9,1967.4,2020-09-10,11
32389.0,7117.2,2600.0,2100.0,2114.0,6447.2,2080.4,2020-09-10,12
32787.0,7117.2,2600.0,2100.0,2114.0,6792.4,2031.0,2020-09-10,13
32076.0,7117.2,2600.0,2100.0,2216.0,6788.1,2033.6,2020-09-10,14
31487.0,7117.2,2600.0,2100.0,2579.0,6426.8,2025.3,2020-09-10,15
31075.0,7117.2,2600.0,2100.0,3103.0,5856.6,2008.7,2020-09-10,16
31176.0,7117.2,2600.0,2100.0,3641.0,5068.2,1929.8,2020-09-10,17
30793.0,7117.2,2600.0,2100.0,4027.0,3735.1,1819.7,2020-09-10,18
30502.0,7117.2,2600.0,2100.0,4267.0,1511.4,1316.4,2020-09-10,19
31196.0,7117.2,2600.0,2100.0,4538.0,177.4,843.2,2020-09-10,20
31509.0,7117.2,2600.0,2100.0,5000.0,0.0,595.0,2020-09-10,21
29171.0,7117.2,2600.0,2100.0,5561.0,0.0,519.0,2020-09-10,22
26994.0,7117.2,2600.0,2100.0,5705.0,0.0,572.5,2020-09-10,23
25809.0,7117.2,2600.0,2100.0,5542.0,0.0,524.6,2020-09-11,0
24599.0,7117.2,2600.0,2100.0,5265.0,0.0,444.4,2020-09-11,1
23466.0,7117.2,2600.0,2100.0,5046.0,0.0,318.6,2020-09-11,2
22902.0,7117.2,2600.0,2100.0,4936.0,0.0,220.1,2020-09-11,3
22658.0,7117.2,2600.0,2100.0,4828.0,0.0,122.8,2020-09-11,4
22915.0,7117.2,2600.0,2100.0,4550.0,0.0,71.0,2020-09-11,5
24442.0,7117.2,2600.0,2100.0,4137.0,0.0,70.7,2020-09-11,6
26387.0,7117.2,2600.0,2100.0,3880.0,19.9,46.0,2020-09-11,7
26854.0,7117.2,2600.0,2100.0,3462.0,812.7,42.5,2020-09-11,8
28617.0,7117.2,2600.0,2100.0,2815.0,3268.4,164.5,2020-09-11,9
29692.0,7117.2,2600.0,2100.0,2016.0,4988.6,966.3,2020-09-11,10
30339.0,7117.2,2600.0,2100.0,1940.0,5891.9,1282.6,2020-09-11,11
31100.0,7117.2,2600.0,2100.0,1683.0,6136.8,1448.8,2020-09-11,12
31662.0,7117.2,2600.0,2100.0,1756.0,6431.1,1491.5,2020-09-11,13
31073.0,7117.2,2600.0,2100.0,1914.0,6429.5,1406.0,2020-09-11,14
30180.0,7117.2,2600.0,2100.0,2107.0,3817.9,1442.4,2020-09-11,15
30294.0,7117.2,2600.0,2100.0,2232.0,5716.5,1457.1,2020-09-11,16
30202.0,7117.2,2600.0,2100.0,2577.0,4930.5,1383.5,2020-09-11,17
29792.0,7117.2,2600.0,2100.0,2941.0,3316.9,1224.8,2020-09-11,18
29333.0,7117.2,2600.0,2100.0,3324.0,1275.7,808.7,2020-09-11,19
30073.0,7117.2,2600.0,2100.0,3606.0,177.7,671.6,2020-09-11,20
30873.0,7117.2,2600.0,2100.0,3998.0,0.0,353.0,2020-09-11,21
28408.0,7117.2,2600.0,2100.0,4334.0,0.0,299.8,2020-09-11,22
26294.0,7117.2,2600.0,2100.0,4360.0,0.0,233.7,2020-09-11,23
25177.0,7117.2,2600.0,2100.0,4250.0,0.0,167.6,2020-09-12,0
24040.0,7117.2,2600.0,2100.0,4251.0,0.0,226.4,2020-09-12,1
22995.0,7117.2,2600.0,2100.0,3907.0,0.0,102.6,2020-09-12,2
22286.0,7117.2,2600.0,2100.0,3474.0,0.0,16.8,2020-09-12,3
21988.0,7117.2,2600.0,2100.0,3227.0,0.0,23.6,2020-09-12,4
21817.0,7117.2,2600.0,2100.0,2942.0,0.0,21.2,2020-09-12,5
22240.0,7117.2,2600.0,2100.0,2904.0,0.0,16.5,2020-09-12,6
22739.0,7117.2,2600.0,2100.0,3102.0,16.6,12.1,2020-09-12,7
23563.0,7117.2,2600.0,2100.0,3270.0,857.1,12.0,2020-09-12,8
25243.0,7117.2,2600.0,2100.0,3202.0,3285.5,93.3,2020-09-12,9
26799.0,7117.2,2600.0,2100.0,2838.0,4969.1,782.6,2020-09-12,10
27991.0,7117.2,2600.0,2100.0,2985.0,5969.0,1338.6,2020-09-12,11
28608.0,7117.2,2600.0,2100.0,3052.0,6430.1,1635.9,2020-09-12,12
29223.0,7117.2,2600.0,2100.0,3186.0,6673.1,1798.6,2020-09-12,13
29412.0,7117.2,2600.0,2100.0,3239.0,6700.1,1700.6,2020-09-12,14
28353.0,7117.2,2600.0,2100.0,3276.0,6457.6,1718.5,2020-09-12,15
27448.0,7117.2,2600.0,2100.0,3292.0,5863.0,1795.1,2020-09-12,16
27402.0,7117.2,2600.0,2100.0,3596.0,4980.5,1755.7,2020-09-12,17
27171.0,7117.2,2600.0,2100.0,4195.0,3336.8,1425.7,2020-09-12,18
26830.0,7117.2,2600.0,2100.0,4928.0,1228.7,916.4,2020-09-12,19
27828.0,7117.2,2600.0,2100.0,5452.0,168.1,332.4,2020-09-12,20
28910.0,7117.2,2600.0,2100.0,6276.0,0.0,274.0,2020-09-12,21
26997.0,7117.2,2600.0,2100.0,6972.0,0.0,263.8,2020-09-12,22
25191.0,7117.2,2600.0,2100.0,7046.0,0.0,205.8,2020-09-12,23
23901.0,7117.2,2600.0,2100.0,6718.0,0.0,119.0,2020-09-13,0
22580.0,7117.2,2600.0,2100.0,6279.0,0.0,79.0,2020-09-13,1
21570.0,7117.2,2600.0,2100.0,5918.0,0.0,55.0,2020-09-13,2
20915.0,7117.2,2600.0,2100.0,5549.0,0.0,76.9,2020-09-13,3
20510.0,7117.2,2600.0,2100.0,5408.0,0.0,40.3,2020-09-13,4
20252.0,7117.2,2600.0,2100.0,5201.0,0.0,15.9,2020-09-13,5
20292.0,7117.2,2600.0,2100.0,4926.0,0.0,13.8,2020-09-13,6
20365.0,7117.2,2600.0,2100.0,4817.0,8.3,11.1,2020-09-13,7
20622.0,7117.2,2600.0,2100.0,4668.0,731.0,12.0,2020-09-13,8
22460.0,7117.2,2600.0,2100.0,4399.0,2939.3,35.9,2020-09-13,9
24158.0,7117.2,2600.0,2100.0,4125.0,4558.7,339.1,2020-09-13,10
25452.0,7117.2,2600.0,2100.0,4328.0,5232.2,708.6,2020-09-13,11
26551.0,7117.2,2600.0,2100.0,4681.0,5666.3,869.9,2020-09-13,12
27213.0,7117.2,2600.0,2100.0,4985.0,5909.6,870.9,2020-09-13,13
27124.0,7117.2,2600.0,2100.0,5374.0,5842.9,825.3,2020-09-13,14
26179.0,7117.2,2600.0,2100.0,5531.0,5616.5,884.7,2020-09-13,15
25570.0,7117.2,2600.0,2100.0,5485.0,5117.5,956.6,2020-09-13,16
25290.0,7117.2,2600.0,2100.0,5475.0,4255.5,1117.7,2020-09-13,17
25277.0,7117.2,2600.0,2100.0,5672.0,2974.4,1040.1,2020-09-13,18
25458.0,7117.2,2600.0,2100.0,5953.0,1121.2,760.0,2020-09-13,19
26891.0,7117.2,2600.0,2100.0,6093.0,215.9,364.8,2020-09-13,20
28276.0,7117.2,2600.0,2100.0,6527.0,0.0,132.9,2020-09-13,21
27252.0,7117.2,2600.0,2100.0,7089.0,0.0,61.7,2020-09-13,22
25446.0,7117.2,2600.0,2100.0,6949.0,0.0,47.1,2020-09-13,23
24073.0,7117.2,2600.0,2100.0,7036.0,0.0,33.6,2020-09-14,0
22665.0,7117.2,2600.0,2100.0,7289.0,0.0,17.3,2020-09-14,1
21699.0,7117.2,2600.0,2100.0,7484.0,0.0,25.8,2020-09-14,2
21348.0,7117.2,2600.0,2100.0,7442.0,0.0,29.9,2020-09-14,3
21324.0,7117.2,2600.0,2100.0,7019.0,0.0,10.1,2020-09-14,4
21817.0,7117.2,2600.0,2100.0,6640.0,0.0,4.8,2020-09-14,5
24277.0,7117.2,2600.0,2100.0,6276.0,0.0,4.7,2020-09-14,6
27176.0,7117.2,2600.0,2100.0,5990.0,5.3,14.1,2020-09-14,7
28795.0,7117.2,2600.0,2100.0,5728.0,619.7,16.6,2020-09-14,8
30495.0,7117.2,2600.0,2100.0,5205.0,2630.0,32.9,2020-09-14,9
31765.0,7117.2,2600.0,2100.0,4634.0,4166.9,267.5,2020-09-14,10
32423.0,7117.2,2600.0,2100.0,5107.0,4673.2,649.6,2020-09-14,11
